Trigger: G-switch.
Smart Recovery option enabled with altitude setting of 685 ft.
Timed recovery set at 16 sec (drogue) and 0 sec (main).
Data is sampled at 200 Hz.
Inputs that were sampled: Acceleration, Pressure, the digital inputs, ADC0, ADC1, ADC2, ADC3.
This data was generated with version 4.2 of the RDAS windows software,
and downloaded from an RDAS board with firmware version 3.1
  Acc [G]  Alt [ft] 
     -0.3       739 
     -0.2       739 
     -0.4       739 
     -0.3       739 
     -0.2       739 
     -0.6       765 
     -0.3       739 
     -0.3       739 
     -0.3       739 
     -0.3       765 
     -0.3       739 
     -0.4       765 
     -0.6       765 
     -0.3       765 
     -0.4       765 
     -0.3       765 
     -0.3       765 
     -0.4       765 
     -0.4       765 
     -0.2       765 
     -0.6       765 
     -0.6       791 
     -0.7       791 
     -0.6       791 
     -0.4       791 
     -0.6       791 
     -0.6       791 
     -0.7       791 
     -0.4       791 
     -0.4       791 
     -0.3       791 
     -0.4       791 
     -0.2       791 
     -0.3       817 
     -0.3       817 
     -0.2       791 
     -0.0       817 
     -0.3       817 
     -0.0       817 
     -0.0       817 
     -0.3       817 
     -0.2       817 
     -0.4       817 
     -0.3       817 
     -0.2       817 
     -0.6       817 
     -0.4       817 
     -0.7       817 
     -0.4       817 
     -0.4       843 
     -0.7       843 
     -0.4       843 
     -0.4       843 
     -0.6       843 
     -0.6       843 
     -0.3       843 
     -0.3       843 
     -0.6       843 
     -0.4       843 
     -0.0       869 
     -0.3       869 
     -0.4       843 
     -0.4       869 
     -0.3       869 
     -0.2       843 
     -0.6       869 
     -0.3       869 
     -0.3       869 
     -0.4       869 
     -0.4       869 
     -0.3       869 
     -0.3       869 
     -0.3       869 
     -0.4       895 
     -0.2       869 
     -0.4       895 
     -0.3       895 
     -0.3       895 
     -0.3       895 
     -0.4       895 
     -0.3       895 
     -0.4       869 
     -0.6       895 
     -0.0       895 
     -0.3       895 
     -0.4       922 
     -0.4       895 
     -0.3       922 
     -0.3       922 
     -0.4       922 
     -0.3       922 
     -0.6       922 
     -0.6       922 
     -0.4       922 
     -0.3       922 
     -0.4       922 
     -0.3       922 
     -0.2       922 
     -0.4       922 
     -0.2       922 
     -0.3       922 
     -0.6       948 
     -0.6       948 
     -0.6       948 
     -0.6       948 
     -0.6       948 
     -0.6       948 
     -0.6       948 
     -0.6       948 
     -0.3       948 
     -0.3       948 
     -0.3       948 
     -0.3       974 
     -0.2       974 
     -0.4       974 
     -0.3       974 
     -0.0       948 
     -0.0       974 
     -0.3       974 
     -0.2       974 
     -0.0       974 
     -0.0       974 
     -0.2       974 
     -0.0       974 
     -0.3       974 
     -0.2      1000 
     -0.2      1000 
     -0.6      1000 
     -0.3       974 
     -0.4      1000 
     -0.4      1000 
     -0.6      1000 
     -0.6      1000 
     -0.3      1000 
     -0.3      1000 
     -0.6      1000 
     -0.4      1000 
     -0.4      1000 
     -0.3      1026 
     -0.2      1000 
     -0.4      1000 
     -0.3      1026 
     -0.2      1026 
     -0.3      1026 
     -0.4      1026 
     -0.2      1026 
     -0.4      1026 
     -0.3      1026 
     -0.3      1026 
     -0.2      1026 
