acce(G)   alt(m) 
1.4      1944 
1.1      1944 
1.2      1917 
1.2      1917 
1.4      1890 
1.2      1890 
1.2      1864 
1.1      1837 
1.2      1810 
0.7      1810 
1.2      1783 
1.1      1810 
1.1      1783 
1.4      1783 
0.9      1783 
0.9      1783 
1.0      1783 
0.5      1783 
1.0      1783 
0.5      1810 
1.1      1810 
0.1      1810 
1.4      1810 
0.3      1837 
0.9      1864 
0.6      1864 
1.0      1864 
0.6      1890 
0.7      1890 
0.2      1917 
0.7      1917 
0.2      1917 
0.7      1944 
0.7      1944 
1.1      1944 
1.6      1944 
0.3      1944 
0.5      1971 
0.5      1971 
0.3      1971 
0.6      1971 
0.5      1997 
0.3      1997 
0.5      1997 
0.7      1997 
0.3      1997 
1.1      1997 
0.2      1997 
0.5      1971 
0.7      1971 
0.9      1944 
0.2      1944 
0.5      1917 
0.3      1944 
0.1      1917 
0.6      1917 
0.1      1890 
0.3      1890 
0.3      1890 
0.5      1890 
0.1      1890 
0.0      1864 
0.3      1890 
0.3      1864 
0.2      1864 
0.2      1890 
0.2      1890 
0.1      1890 
0.2      1890 
0.3      1890 
0.1      1890 
0.5      1944 
0.1      1944 
0.1      1944 
0.5      1944 
0.4      1971 
0.2      1971 
0.3      1971 
0.2      1944 
0.3      1971 
0.0      1971 
0.0      1971 
0.7      1971 
0.2      1997 
0.4      1997 
0.6      1997 
0.2      1997 
0.3      1997 
0.0      2024 
0.6      1997 
0.1      1997 
0.6      1997 
0.2      1997 
0.2      1997 
0.1      1971 
0.2      1997 
0.3      1971 
0.0      1944 
0.2      1944 
0.0      1917 
0.0      1917 
0.0      1944 
0.2      1944 
0.2      1917 
0.3      1917 
0.4      1917 
0.2      1917 
0.0      1917 
0.3      1917 
0.2      1917 
0.3      1917 
0.1      1944 
0.4      1944 
0.0      1917 
0.2      1944 
0.6      1944 
0.2      1944 
0.3      1971 
0.6      1944 
0.3      1971 
0.2      1971 
0.2      1997 
0.3      1997 
0.3      1997 
0.4      1997 
0.2      1997 
0.0      1997 
0.6      2024 
0.2      2024 
0.4      2051 
0.0      2051 
0.4      2051 
0.3      2051 
0.0      2051 
0.3      2051 
0.1      2051 
0.7      2051 
0.3      2051 
0.4      2078 
0.4      2051 
0.7      2051 
0.4      2051 
0.0      2051 
0.4      2051 
0.0      2051 
0.3      2078 
0.2      2078 
0.2      2051 
0.7      2051 
0.2      2051 
0.6      2078 
0.1      2051 
0.4      2078 
0.3      2051 
0.2      2051 
0.4      2051 
0.2      2078 
0.2      2078 
0.2      2078 
0.3      2078 
0.0      2105 
0.2      2105 
0.2      2105 
0.4      2105 
0.0      2105 
0.7      2105 
0.4      2105 
0.3      2105 
0.4      2132 
0.2      2105 
0.3      2132 
0.4      2132 
0.3      2132 
0.7      2132 
0.2      2159 
0.7      2132 
0.2      2132 
0.6      2159 
0.3      2159 
0.4      2186 
0.0      2186 
0.3      2186 
0.7      2186 
0.2      2186 
0.7      2186 
0.2      2186 
0.2      2213 
0.2      2186 
0.3      2213 
0.6      2213 
0.4      2213 
0.3      2213 
0.3      2213 
0.2      2213 
0.6      2213 
0.4      2240 
0.6      2213 
0.6      2213 
0.1      2240 
0.8      2213 
0.6      2213 
0.3      2213 
0.6      2240 
0.4      2240 
0.3      2240 
0.4      2267 
0.6      2240 
0.3      2240 
0.2      2240 
0.6      2267 
0.2      2267 
0.4      2267 
0.3      2240 
0.4      2240 
0.4      2267 
0.3      2267 
0.3      2267 
0.6      2294 
0.0      2267 
0.4      2267 
0.3      2267 
0.7      2294 
0.3      2294 
0.3      2321 
0.4      2294 
0.6      2294 
0.7      2321 
0.4      2294 
0.3      2321 
0.4      2321 
0.3      2321 
0.3      2321 
0.2      2321 
0.2      2321 
0.3      2321 
0.4      2348 
0.7      2348 
0.3      2348 
0.3      2348 
0.2      2348 
0.6      2348 
0.2      2375 
0.4      2375 
0.3      2375 
0.3      2375 
0.6      2402 
0.4      2375 
0.3      2402 
0.4      2402 
0.4      2402 
0.6      2402 
0.4      2402 
0.4      2429 
0.2      2402 
0.6      2429 
0.3      2402 
0.3      2429 
0.7      2429 
0.4      2429 
0.4      2429 
0.6      2429 
0.4      2457 
0.4      2429 
0.6      2457 
0.4      2429 
0.7      2457 
0.3      2457 
0.6      2429 
0.7      2457 
0.3      2457 
0.7      2457 
0.4      2457 
0.8      2457 
0.4      2484 
0.4      2484 
0.4      2457 
0.6      2457 
0.4      2484 
0.4      2484 
0.7      2484 
0.2      2484 
0.3      2484 
0.6      2484 
0.4      2484 
0.6      2484 
0.3      2484 
0.3      2484 
0.4      2484 
0.7      2484 
0.6      2484 
0.4      2484 
0.4      2484 
0.2      2511 
0.6      2484 
0.3      2511 
0.3      2511 
0.7      2511 
0.4      2538 
0.3      2538 
0.6      2511 
0.3      2511 
0.3      2538 
0.2      2538 
0.7      2538 
0.4      2538 
0.4      2538 
0.4      2538 
0.2      2538 
0.4      2538 
0.6      2538 
0.3      2538 
0.3      2538 
0.3      2538 
0.4      2538 
0.4      2538 
0.6      2538 
0.3      2566 
0.3      2566 
0.4      2566 
0.6      2593 
0.4      2566 
0.7      2566 
0.6      2566 
0.6      2593 
0.6      2566 
0.7      2566 
0.7      2593 
0.6      2593 
0.6      2593 
0.4      2593 
0.7      2593 
0.8      2566 
0.6      2593 
0.6      2593 
0.3      2593 
0.6      2593 
0.4      2620 
0.4      2620 
0.4      2593 
0.3      2620 
0.3      2593 
0.4      2620 
0.4      2620 
0.2      2620 
0.7      2620 
0.3      2620 
0.3      2620 
0.7      2620 
0.4      2648 
0.6      2620 
0.3      2648 
0.4      2648 
0.6      2620 
0.3      2648 
0.2      2620 
0.6      2648 
0.2      2648 
0.3      2648 
0.6      2648 
0.6      2648 
0.6      2648 
0.3      2648 
0.3      2648 
0.6      2648 
0.6      2648 
0.4      2648 
0.2      2675 
0.6      2675 
0.6      2675 
0.6      2675 
0.4      2675 
0.4      2702 
0.4      2702 
0.7      2675 
0.7      2675 
0.3      2702 
0.6      2702 
0.6      2702 
0.6      2702 
0.6      2702 
0.3      2702 
0.6      2702 
0.4      2702 
0.7      2702 
0.6      2702 
0.7      2730 
0.4      2702 
0.6      2730 
0.6      2730 
0.3      2730 
0.4      2730 
0.2      2730 
0.4      2730 
0.4      2730 
0.4      2757 
0.4      2730 
0.2      2757 
0.4      2730 
0.3      2757 
0.4      2730 
0.3      2757 
0.3      2757 
0.4      2757 
0.3      2757 
0.4      2757 
0.6      2757 
0.6      2785 
0.4      2757 
0.4      2757 
0.6      2785 
0.4      2785 
0.6      2785 
0.6      2785 
0.6      2785 
0.3      2785 
0.3      2785 
0.2      2785 
0.3      2785 
0.3      2812 
0.4      2785 
0.4      2785 
0.4      2812 
0.4      2785 
0.3      2812 
0.4      2812 
0.4      2812 
0.4      2812 
0.4      2812 
0.7      2812 
0.6      2812 
0.3      2812 
0.3      2812 
0.2      2840 
0.4      2840 
0.6      2840 
0.3      2840 
0.4      2840 
0.7      2840 
0.6      2840 
0.6      2840 
0.4      2867 
0.4      2840 
0.4      2840 
0.3      2867 
0.3      2840 
0.6      2867 
0.6      2867 
0.3      2867 
0.3      2895 
0.3      2895 
0.6      2867 
0.3      2895 
0.7      2895 
0.6      2895 
0.6      2895 
0.4      2895 
0.3      2895 
0.3      2895 
0.6      2922 
0.7      2895 
0.4      2895 
0.4      2895 
0.3      2922 
0.6      2922 
0.3      2922 
0.3      2895 
0.6      2922 
0.2      2922 
0.4      2922 
0.7      2922 
0.4      2922 
0.4      2922 
0.6      2950 
0.4      2922 
0.6      2950 
0.2      2922 
0.4      2922 
0.3      2922 
0.6      2950 
0.6      2950 
0.6      2950 
0.4      2950 
0.3      2950 
0.6      2950 
0.6      2950 
